strategy_id,strategy,limit_id,scope,metric,current_value,watch_threshold,warning_threshold,breach_threshold,utilization,status,action,explanation,hard_limit
,,PORT_MAX_DD,portfolio,max_drawdown,-0.08667187871367443,0.072,0.096,-0.12,0.722265655947287,watch,Keep,Portfolio max drawdown versus configured drawdown limit.,
,,FACTOR_EQUITY_BETA,portfolio_factor,equity_beta,0.15425000000000003,0.09,0.12,0.15,1.0283333333333335,breach,Reduce or hedge factor exposure,Portfolio equity_beta proxy exposure versus configured factor budget.,
,,FACTOR_CREDIT_SPREAD,portfolio_factor,credit_spread,0.11266666666666668,0.06,0.08000000000000002,0.1,1.1266666666666667,breach,Reduce or hedge factor exposure,Portfolio credit_spread proxy exposure versus configured factor budget.,
,,FACTOR_RATES_DURATION,portfolio_factor,rates_duration,0.11308333333333334,0.072,0.096,0.12,0.9423611111111112,warning,Reduce or hedge factor exposure,Portfolio rates_duration proxy exposure versus configured factor budget.,
,,FACTOR_HERFINDAHL,portfolio_factor,factor_herfindahl,0.21504508462933605,0.21,0.27999999999999997,0.35,0.6144145275123888,watch,Keep,Absolute factor exposure concentration versus configured Herfindahl limit.,
,,FACTOR_REBALANCE_CHANGE,portfolio_factor,max_factor_change_per_rebalance,0.031184255695401175,0.03,0.04000000000000001,0.05,0.6236851139080235,watch,Keep,Largest proposed factor exposure change versus rebalance factor-change limit.,
,,FACTOR_CASH_REVIEW,portfolio_factor,cash_exposure,0.39,0.36,0.48,0.6,0.65,watch,Keep,"Cash exposure review threshold. This is a review trigger, not a market-risk breach.",
,,SCENARIO_EQUITY__5,portfolio_scenario,Equity -5%,-0.009182500000000001,0.0075,0.010000000000000002,-0.0125,0.7346,watch,Keep,Estimated portfolio impact under Equity -5% versus configured scenario-loss limit.,
,,CORR_MAX_PAIR,portfolio_correlation,max_pairwise_positive_correlation,0.7386016090075819,0.44999999999999996,0.6000000000000001,0.75,0.9848021453434425,warning,"Merge, redesign, or reduce duplicate strategy exposure",Highest positive pairwise strategy correlation versus duplicate-exposure limit.,
,,REBAL_TURNOVER,rebalance,turnover,0.14999999999999997,0.09,0.12,0.15,0.9999999999999998,warning,Modify proposed rebalance,Total proposed rebalance turnover versus configured limit.,
,,REBAL_MAX_WEIGHT_CHANGE,rebalance,max_single_weight_change,0.02380420119961768,0.018,0.024,0.03,0.7934733733205894,watch,Keep,Largest proposed strategy weight change versus configured limit.,
PROTO_WQ_ALPHA_ETF,WorldQuant-Inspired ETF Alpha Basket,PROTO_WQ_ALPHA_ETF_ROLLING_VOL,PROTO_WQ_ALPHA_ETF,latest_63d_rolling_volatility,0.2033322578038591,0.12,0.16000000000000003,0.2,1.0166612890192954,breach,Reduce or hedge,Latest 63-day rolling volatility versus the live monitoring limit.,
CAND_EQUITY_MARKET_NEUTRAL,Equity Market-Neutral Style Spread,CAND_EQUITY_MARKET_NEUTRAL_CURRENT_DD,CAND_EQUITY_MARKET_NEUTRAL,current_drawdown,-0.4282910856611237,0.072,0.096,-0.12,3.5690923805093644,breach,Reduce or pause pending human review,Current strategy drawdown versus the live monitoring drawdown limit.,
CAND_EQUITY_MARKET_NEUTRAL,Equity Market-Neutral Style Spread,CAND_EQUITY_MARKET_NEUTRAL_ROLLING_SHARPE,CAND_EQUITY_MARKET_NEUTRAL,latest_63d_rolling_sharpe,-3.203530006516064,-0.7,-0.575,-0.5,5.407060013032128,warning,Watch for live strategy deterioration,"Latest 63-day rolling Sharpe versus the live deterioration threshold. This is a performance warning, not a standalone hard risk breach.",False
CAND_CREDIT_CARRY_STRESS_GATE,Credit Carry With Stress Gate,CAND_CREDIT_CARRY_STRESS_GATE_ROLLING_SHARPE,CAND_CREDIT_CARRY_STRESS_GATE,latest_63d_rolling_sharpe,-1.2333925914221051,-0.7,-0.575,-0.5,1.4667851828442102,warning,Watch for live strategy deterioration,"Latest 63-day rolling Sharpe versus the live deterioration threshold. This is a performance warning, not a standalone hard risk breach.",False
CAND_TREASURY_CURVE_RV,Treasury Curve Relative Value Proxy,CAND_TREASURY_CURVE_RV_CURRENT_DD,CAND_TREASURY_CURVE_RV,current_drawdown,-0.20812240805776927,0.072,0.096,-0.12,1.7343534004814107,breach,Reduce or pause pending human review,Current strategy drawdown versus the live monitoring drawdown limit.,
